Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,8,33.92,27.35
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,9,33.99,27.55
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,10,33.86,27.72
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,11,33.9,27.86
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,12,34.46,27.94
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,13,33.87,28.05
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,14,33.84,28.15
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,15,33.96,28.22
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,16,34.04,28.29
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,17,33.93,28.35
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,18,33.85,28.41
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,19,33.97,28.46
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,20,33.89,28.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,21,34.04,28.55
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,22,33.9,28.59
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,23,33.8,28.63
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,24,33.87,28.66
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,25,33.8,28.7
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,26,33.86,28.73
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,27,33.76,28.76
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,28,33.78,28.79
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,29,33.78,28.81
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,30,33.8,28.82
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,31,33.79,29.17
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,32,33.92,29.3
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,33,33.85,29.39
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,34,33.81,29.44
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,35,33.86,29.46
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,36,33.78,29.48
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,37,33.73,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,38,33.79,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,39,33.84,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,40,33.92,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,41,34.04,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,42,33.9,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,43,34.06,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,44,34.17,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,45,34.25,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,46,33.82,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,47,33.79,29.52
